address,bathrooms,bedrooms,finishedsqft,lastsolddate,lastsoldprice,latitude,longitude,neighborhood,totalrooms,usecode,yearbuilt,zipcode
2875 Jackson St APT 4,1,1,1208,10/3/2014,1300000,37.791213,-122.442323,Pacific Heights,4,Condominium,1923,94115
2200 Sacramento St APT 1005,2,1,828,9/26/2014,1150000,37.790681,-122.429498,Pacific Heights,3,Condominium,1964,94115
3254 Clay St,2,3,2262,9/26/2014,1800000,37.78935,-122.446689,Pacific Heights,8,Condominium,1912,94115
2865 Jackson St APT 1,2,3,1925,9/24/2014,1950000,37.79123,-122.44219,Pacific Heights,6,Condominium,1923,94115
2608 Sacramento St,3.5,4,2176,9/22/2014,3450000,37.789824,-122.436299,Pacific Heights,7,SingleFamily,1880,94115
3166 Clay St,3,2,1939,9/12/2014,1840000,37.78959,-122.44522,Pacific Heights,6,Condominium,1900,94115
3242 Washington St,4.5,5,5130,8/27/2014,4150000,37.790291,-122.446723,Pacific Heights,13,SingleFamily,1893,94115
2200 Pacific Ave APT 7D,2,2,1850,8/26/2014,1700000,37.793994,-122.43182,Pacific Heights,2,Condominium,1962,94115
2914 Sacramento St,4,5,3295,8/21/2014,3750000,37.789167,-122.441435,Pacific Heights,7,SingleFamily,1900,94115
3140 Clay St APT 1,1,2,1062,8/15/2014,1083000,37.78964,-122.44484,Pacific Heights,4,Condominium,1927,94115
2232 Divisadero St,2,3,1788,8/15/2014,1900000,37.79045,-122.440585,Pacific Heights,7,Condominium,1900,94115
2251 Washington St,3,3,2200,8/1/2014,2675000,37.791843,-122.430232,Pacific Heights,10,Condominium,1947,94115
68 Presidio Ave,3.5,4,4386,7/24/2014,7750000,37.790986,-122.447272,Pacific Heights,11,SingleFamily,1916,94115
2040 Laguna St APT 401,2,3,1586,7/18/2014,1635000,37.790126,-122.42872,Pacific Heights,6,SingleFamily,1978,94115
2921 Washington St APT 4,1,1,1070,7/3/2014,1075000,37.790535,-122.441409,Pacific Heights,4,Condominium,1916,94115
3153 Sacramento St,2,3,1937,6/26/2014,2100000,37.788177,-122.444793,Pacific Heights,5,Condominium,2003,94115
2040 Laguna St APT 201,3,3,1559,6/24/2014,1525000,37.790126,-122.42872,Pacific Heights,6,Condominium,1981,94115
2801 Jackson St # 11,1,2,1330,6/16/2014,1450000,37.791415,-122.441445,Pacific Heights,5,Condominium,1906,94115
3294 Clay St APT 4,2,2,1246,6/13/2014,1165000,37.789242,-122.446887,Pacific Heights,5,Condominium,1911,94115
2114 Divisadero St,1.5,2,1419,6/12/2014,1310000,37.789505,-122.440455,Pacific Heights,6,SingleFamily,1898,94115
3065 Clay St # 11,1,1,1286,5/21/2014,1150000,37.78927,-122.4434,Pacific Heights,4,Condominium,1910,94115
3186 Clay St,2,2,2043,5/13/2014,2150000,37.789415,-122.44554,Pacific Heights,6,Condominium,1905,94115
2200 Lyon St,2.5,3,2400,5/13/2014,2900000,37.791183,-122.445993,Pacific Heights,6,SingleFamily,1923,94115
2881 Jackson St,4,4,5000,5/2/2014,6415000,37.791238,-122.442429,Pacific Heights,12,SingleFamily,1900,94115
2800 Pacific Ave,5,6,8120,4/30/2014,8600000,37.792646,-122.441746,Pacific Heights,15,SingleFamily,1908,94115
2330 Lyon St,6.5,6,6175,4/29/2014,10117500,37.792538,-122.446193,Pacific Heights,15,SingleFamily,1927,94115
3065 Clay St APT 101,1.5,1,1072,4/28/2014,1100000,37.789271,-122.443394,Pacific Heights,3,Condominium,1910,94115
3230 Washington St,2,3,1478,4/25/2014,2010000,37.790107,-122.44638,Pacific Heights,6,Condominium,1904,94115
2990 Clay St APT 2,2,2,1350,4/25/2014,2075000,37.789907,-122.442357,Pacific Heights,4,Condominium,1890,94115
2299 Sacramento St APT 19,1,2,1252,4/22/2014,1075000,37.790015,-122.430489,Pacific Heights,5,Condominium,1913,94115
2217 Pacific Ave APT 6,1,1,795,4/18/2014,715000,37.793421,-122.432139,Pacific Heights,3,Condominium,1904,94115
3042 Jackson St APT 1,2,4,2283,4/15/2014,2150000,37.791373,-122.445323,Pacific Heights,8,Condominium,1908,94115
2665 Sacramento St,2,4,1918,4/14/2014,1400000,37.78929,-122.436675,Pacific Heights,8,Condominium,1909,94115
2200 Sacramento St APT 506,2,2,969,4/8/2014,1000000,37.790681,-122.429498,Pacific Heights,4,Condominium,1964,94115
2339-2341 Laguna St,3,4,2465,4/8/2014,3200000,37.792712,-122.429855,Pacific Heights,9,SingleFamily,1939,94115
2025 Broderick St APT 2,1,1,677,3/28/2014,650000,37.789134,-122.442731,Pacific Heights,3,Condominium,1960,94115
2299 Sacramento St APT 7,1,2,1421,3/24/2014,995000,37.790011,-122.43048,Pacific Heights,5,Condominium,1913,94115
3140 Clay St APT 5,1,2,1062,3/21/2014,1025000,37.78964,-122.44484,Pacific Heights,4,SingleFamily,1927,94115
2714 Pacific Ave,4.5,4,3725,3/11/2014,7400000,37.792925,-122.44038,Pacific Heights,9,SingleFamily,1914,94115
2436 Jackson St # 3,1,2,795,3/7/2014,781000,37.792609,-122.435634,Pacific Heights,2,Condominium,1880,94115
3028 Washington St,2,4,2725,3/4/2014,4950000,37.790662,-122.44381,Pacific Heights,8,Duplex,1900,94115
3025 Sacramento St,6,7,3802,3/3/2014,588000,37.788441,-122.442778,Pacific Heights,15,Duplex,1925,94115
1849 Lyon St,3,4,1973,2/14/2014,2000000,37.788195,-122.44586,Pacific Heights,10,Condominium,1900,94115
2775 Clay St,4.5,5,3645,2/12/2014,5650000,37.789915,-122.438656,Pacific Heights,10,SingleFamily,1900,94115
2401 Jackson St APT 1,2,2,1375,2/7/2014,750000,37.792288,-122.434825,Pacific Heights,5,Condominium,1908,94115
2034 Baker St,2,3,1945,2/4/2014,1735000,37.789967,-122.44392,Pacific Heights,8,Condominium,1903,94115
2106 Scott St # C,2,3,2045,2/4/2014,1850000,37.789659,-122.438735,Pacific Heights,5,Condominium,1976,94115
2666 Broadway St,5.1,5,4862,12/30/2013,8650000,37.793747,-122.441077,Pacific Heights,10,SingleFamily,1940,94115
2259 Clay St,3,3,2613,6/18/2015,3800000,37.790944,-122.430228,Pacific Heights,9,Condominium,1936,94115
25 Normandie Ter,4,4,3773,7/2/2015,6500000,37.793941,-122.441018,Pacific Heights,9,SingleFamily,1938,94115
2945 Pacific Ave APT 2,1,1,1225,12/13/2013,946000,37.791932,-122.443726,Pacific Heights,5,Condominium,1923,94115
2326 California St # 200,3,4,1925,12/10/2013,1800000,37.789344,-122.432774,Pacific Heights,7,Condominium,1985,94115
2230 Pacific Ave APT 102,1,1,730,12/6/2013,745000,37.793968,-122.43207,Pacific Heights,4,Condominium,1949,94115
2039 Broderick St,3.5,4,3350,12/3/2013,3150000,37.789286,-122.442713,Pacific Heights,14,SingleFamily,1900,94115
2319 Webster St,1.5,3,1805,11/27/2013,1600000,37.792396,-122.433132,Pacific Heights,7,SingleFamily,1900,94115
2447 Jackson St,2,3,2158,11/22/2013,1730000,37.7921,-122.435335,Pacific Heights,6,Condominium,1904,94115
2418 Webster St,3.5,4,2853,11/21/2014,3350000,37.793394,-122.432768,Pacific Heights,8,SingleFamily,1900,94115
3228 Clay St,2,4,2007,11/15/2013,1780000,37.789409,-122.446342,Pacific Heights,6,Condominium,1910,94115
2921 Jackson St,4,4,3400,11/13/2013,3850000,37.79108,-122.443324,Pacific Heights,11,SingleFamily,1875,94115
2523 Steiner St,4.5,3,2727,11/8/2013,2010000,37.792791,-122.436518,Pacific Heights,9,SingleFamily,1914,94115
2586 Clay St,2.5,3,2588,11/8/2013,3675000,37.790767,-122.43565,Pacific Heights,8,SingleFamily,1900,94115
2846 Sacramento St,2,2,1625,10/30/2013,1450000,37.789375,-122.439799,Pacific Heights,6,Condominium,1900,94115
2400 Steiner St # 2,1,1,1268,10/25/2013,1280000,37.791599,-122.435867,Pacific Heights,3,Condominium,1898,94115
3110 California St # 1,2,2,1059,10/18/2013,950000,37.787612,-122.445821,Pacific Heights,3,Condominium,2004,94115
2465 Washington St,3,2,2885,10/18/2013,3000000,37.791435,-122.43379,Pacific Heights,8,SingleFamily,1900,94115
2009 Divisadero St APT 3A,2,2,969,10/4/2013,890000,37.78829,-122.44083,Pacific Heights,5,Condominium,1987,94115
132 Presidio Ave,6,9,6300,10/3/2013,3800000,37.790367,-122.44713,Pacific Heights,20,Condominium,1912,94115
2051 Broadway St,4,6,3485,9/27/2013,3150000,37.794496,-122.430767,Pacific Heights,11,MultiFamily2To4,1948,94115
2201 Lyon St,3.5,6,3366,9/27/2013,5250000,37.791244,-122.446341,Pacific Heights,11,SingleFamily,1952,94115
2200 Sacramento St APT 1206,2,2,969,9/25/2013,1625000,37.790681,-122.429498,Pacific Heights,4,Condominium,1964,94115
3294 Clay St APT 6,2,3,2006,9/25/2013,1685000,37.789242,-122.446887,Pacific Heights,9,Condominium,1911,94115
2421 Buchanan St # B,2.25,2,1738,9/24/2013,1261000,37.79231,-122.431424,Pacific Heights,10,Condominium,1902,94115
2200 Pacific Ave APT 4B,1.5,1,1172,9/19/2013,712500,37.793994,-122.43182,Pacific Heights,4,Condominium,1962,94115
2835 Washington St,3,3,2100,9/11/2013,1740000,37.790618,-122.439896,Pacific Heights,6,Condominium,1906,94115
2410 Pacific Ave APT 1,1,1,870,9/5/2013,730000,37.793546,-122.435306,Pacific Heights,3,MultiFamily2To4,1960,94115
2200 Sacramento St APT 1204,2,1,828,9/4/2013,840000,37.790681,-122.429498,Pacific Heights,3,Condominium,1964,94115
2121 Laguna St # 500,1,1,750,8/28/2013,635000,37.790941,-122.429551,Pacific Heights,3,Condominium,1960,94115
2500 Divisadero St,12.5,6,9125,8/23/2013,8800000,37.792711,-122.441055,Pacific Heights,16,SingleFamily,1933,94115
2268 Jackson St,3,3,1946,8/19/2013,1368000,37.792995,-122.432445,Pacific Heights,6,Condominium,1906,94115
2949 Jackson St,1,2,2100,2/24/2000,1025000,37.791048,-122.443581,Pacific Heights,6,Condominium,1939,94115
2551 Clay St,2,2,1600,8/13/2013,1782000,37.790346,-122.43495,Pacific Heights,5,Condominium,1981,94115
2200 Pacific Ave APT 2A,2,2,1856,8/8/2013,1200000,37.793994,-122.43182,Pacific Heights,5,Condominium,1962,94115
3149-3151 Washington St,2,9,4400,8/2/2013,2855000,37.789952,-122.445132,Pacific Heights,12,MultiFamily2To4,1908,94115
2570 Jackson St,6.5,9,10000,7/31/2013,9600000,37.79238,-122.437435,Pacific Heights,26,SingleFamily,1923,94115
1902 Lyon St APT C,2.5,2,1435,7/11/2014,1750000,37.788669,-122.44534,Pacific Heights,5,SingleFamily,1979,94115
2200 Pacific Ave APT 3F,2,2,1850,8/26/2014,1700000,37.793994,-122.43182,Pacific Heights,5,Condominium,1962,94115
2867 Clay St,2,3,2122,7/24/2013,2100000,37.789676,-122.4402,Pacific Heights,8,Condominium,1900,94115
2200 Sacramento St APT 608,2,1,947,7/23/2013,885000,37.790681,-122.429498,Pacific Heights,4,Condominium,1964,94115
2200 Pacific Ave APT 7B,1.5,1,1050,7/23/2013,980000,37.793994,-122.43182,Pacific Heights,4,Condominium,1962,94115
2249 Washington St,1,2,1018,7/18/2013,1650000,37.791845,-122.43024,Pacific Heights,5,Condominium,1947,94115
2701 Pacific Ave,4,7,7500,7/16/2013,8600000,37.792537,-122.439847,Pacific Heights,13,SingleFamily,1900,94115
2172 Pacific Ave APT 2,1,1,625,7/11/2013,730000,37.794086,-122.431091,Pacific Heights,3,Condominium,1900,94115
1912 Broderick St,1.5,3,1430,7/11/2013,1629000,37.788405,-122.441915,Pacific Heights,6,Condominium,1900,94115
2200 Pacific Ave APT 11F,2,2,1896,7/3/2013,1450000,37.793994,-122.43182,Pacific Heights,5,Condominium,1962,94115
3018 Clay St,2,3,2447,7/3/2013,2000000,37.789813,-122.443393,Pacific Heights,7,Condominium,1900,94115
2105 Buchanan St APT 6,2,3,1700,2/5/2016,1770000,37.789597,-122.430787,Pacific Heights,5,Condominium,1921,94115
2214 Clay St,4,5,5352,4/23/2013,5320000,37.791517,-122.430014,Pacific Heights,10,SingleFamily,1890,94115
2327 Divisadero St,1,3,1856,12/5/2014,2000000,37.791085,-122.44144,Pacific Heights,7,Condominium,1905,94115
1847 Lyon St,3,4,2053,4/17/2013,1800000,37.788194,-122.445851,Pacific Heights,8,Condominium,1900,94115
2299 Sacramento St APT 1,1,1,844,4/16/2013,670000,37.790011,-122.43048,Pacific Heights,3,Condominium,1913,94115
1812 Lyon St,6,4,3600,12/23/2014,4450000,37.787935,-122.445194,Pacific Heights,9,SingleFamily,1900,94115
2457 Buchanan St,2,3,1917,11/28/2012,1589500,37.792728,-122.431503,Pacific Heights,7,Condominium,1900,94115
2537 Sacramento St,2,3,1800,3/26/2013,1610000,37.78944,-122.43493,Pacific Heights,5,Condominium,1901,94115
2179 Pacific Ave,2.5,4,2740,12/30/2014,2515000,37.79356,-122.43096,Pacific Heights,8,Condominium,1902,94115
2512 Broadway St,5,3,3820,3/26/2013,4999000,37.79405,-122.438632,Pacific Heights,10,SingleFamily,1966,94115
2106 Scott St # B,1,1,525,3/25/2013,655000,37.789657,-122.438731,Pacific Heights,3,Condominium,1976,94115
3178 Washington St,2,3,1875,4/10/2015,2150000,37.790395,-122.44564,Pacific Heights,8,Condominium,1908,94115
3020 Clay St,3.5,5,4571,3/8/2013,3350000,37.789804,-122.44348,Pacific Heights,10,SingleFamily,1900,94115
2200 Sacramento St APT 1404,2,1,830,3/1/2013,1050000,37.790681,-122.429498,Pacific Heights,3,Condominium,1964,94115
2200 Pacific Ave APT 11E,1,1,1041,2/15/2013,895000,37.793994,-122.43182,Pacific Heights,4,Condominium,1962,94115
2243 Washington St,2,2,1145,2/15/2013,1349000,37.791856,-122.430142,Pacific Heights,5,SingleFamily,1947,94115
2200 Pacific Ave APT 6A,2,2,1856,2/14/2013,1300000,37.793994,-122.43182,Pacific Heights,5,Condominium,1962,94115
1900 Lyon St,2,2,1558,2/13/2013,1085000,37.788669,-122.44534,Pacific Heights,6,Townhouse,1979,94115
2265 Broadway St APT 1,2,3,1512,2/6/2013,1340000,37.794057,-122.434205,Pacific Heights,6,Condominium,1923,94115
2912 Sacramento St,3,4,2500,1/30/2013,2165000,37.789179,-122.441341,Pacific Heights,5,SingleFamily,2009,94115
2006-2010 Broderick St #4,1,1,788,3/15/2016,965000,37.789145,-122.44216,Pacific Heights,4,Condominium,1900,94115
2200 Pacific Ave APT 9B,2,1,1172,1/9/2013,830000,37.793994,-122.43182,Pacific Heights,4,Condominium,1962,94115
2102 Baker St # 2100,2,3,2034,12/28/2012,950000,37.79058,-122.444175,Pacific Heights,5,SingleFamily,1906,94115
3140 Clay St APT 4,1,1,1062,12/27/2012,794000,37.78964,-122.44484,Pacific Heights,3,Condominium,1927,94115
2908 Pacific Ave,5.5,5,6968,12/27/2012,6500000,37.792523,-122.443381,Pacific Heights,12,SingleFamily,2002,94115
3133 Sacramento St,2,2,1587,12/19/2012,1475000,37.788217,-122.444492,Pacific Heights,5,Condominium,1888,94115
2338 California St,3.5,3,3090,12/19/2012,2050000,37.789323,-122.432946,Pacific Heights,9,SingleFamily,1875,94115
2320 Lyon St,5,4,3200,12/18/2012,4990000,37.792268,-122.446092,Pacific Heights,9,SingleFamily,1928,94115
2672-2674 Sacramento St,3.5,5,4142,2/1/2013,5000000,37.78971,-122.436919,Pacific Heights,9,SingleFamily,1920,94115
2211 Broderick St APT 5,1,2,1110,12/14/2012,910000,37.790974,-122.443058,Pacific Heights,5,Condominium,1915,94115
2513 Pacific Ave,5,5,3960,12/14/2012,7500000,37.792769,-122.437143,Pacific Heights,12,SingleFamily,1900,94115
2299 Sacramento St APT 14,1,2,1252,6/9/2014,1150000,37.790011,-122.43048,Pacific Heights,5,Condominium,1913,94115
2444 Clay St,2,4,2000,11/30/2012,1800000,37.79109,-122.43337,Pacific Heights,8,Condominium,1900,94115
2046 Baker St,3,3,1750,11/21/2012,1250000,37.790103,-122.443947,Pacific Heights,6,Condominium,1915,94115
1941 Lyon St,2,3,1520,11/21/2012,1275000,37.788886,-122.445969,Pacific Heights,6,Condominium,1900,94115
2201 Sacramento St APT 304,1,1,1008,11/20/2012,705000,37.790201,-122.429281,Pacific Heights,3,Condominium,1928,94115
2542 Sacramento St APT 303,1,2,1106,11/16/2012,872500,37.78999,-122.434985,Pacific Heights,4,Condominium,1964,94115
2462 Broadway St,2.5,3,2896,11/9/2012,2600000,37.794231,-122.437621,Pacific Heights,8,Condominium,1904,94115
2200 Sacramento St APT 607,2,2,1000,11/8/2012,1100000,37.790681,-122.429498,Pacific Heights,4,Condominium,1964,94115
1920 Broderick St,3.5,3,2388,11/8/2012,2100000,37.788545,-122.441983,Pacific Heights,7,SingleFamily,1883,94115
2801 Jackson St APT 301,1,1,1139,3/31/2015,1199000,37.791415,-122.441445,Pacific Heights,4,Condominium,1906,94115
2000 Baker St,2.5,3,2334,10/31/2012,1625000,37.789707,-122.443998,Pacific Heights,6,Condominium,1977,94115
2204 Steiner St,2.5,4,2105,10/31/2012,2710000,37.789935,-122.435449,Pacific Heights,8,SingleFamily,1900,94115
2249 Clay St # 1,3,3,1960,7/15/2015,2532000,37.790965,-122.430049,Pacific Heights,9,Condominium,1934,94115
3063 Washington St # 3,2,3,1939,4/28/2015,3210000,37.790139,-122.443636,Pacific Heights,6,Condominium,1890,94115
2200 Pacific Ave APT 5C,2,2,1850,9/28/2012,1500000,37.793994,-122.43182,Pacific Heights,5,Condominium,1962,94115
2358 Steiner St,2,1,1045,9/26/2012,1903000,37.791135,-122.435675,Pacific Heights,7,Condominium,1900,94115
2544A Washington St # A,2,2,1116,9/25/2012,35000,37.791764,-122.435177,Pacific Heights,5,Condominium,1900,94115
3140 Clay St APT 12,1,1,1062,9/14/2012,720000,37.78964,-122.44484,Pacific Heights,3,Condominium,1927,94115
3004 Sacramento St,2,2,1224,8/30/2012,1300000,37.788975,-122.44262,Pacific Heights,5,Condominium,1885,94115
132 Presidio Ave,6,9,6300,10/3/2013,3800000,37.790367,-122.44713,Pacific Heights,20,Condominium,1912,94115
2120 Lyon St,4.5,5,5200,8/21/2012,4621000,37.79064,-122.445759,Pacific Heights,13,SingleFamily,1902,94115
2299 Sacramento St APT 9,1,2,1270,8/16/2012,770000,37.790011,-122.43048,Pacific Heights,5,Condominium,1913,94115
2200 Pacific Ave APT 10C,2,2,1850,8/7/2012,1600000,37.793994,-122.431812,Pacific Heights,5,Condominium,1962,94115
2375 Broadway St,3.75,4,4252,8/7/2012,4000000,37.79383,-122.436105,Pacific Heights,9,SingleFamily,1914,94115
2800 California St # 205,1,1,842,8/3/2012,626000,37.78829,-122.44083,Pacific Heights,4,Condominium,1987,94115
3016 Sacramento St,1.5,2,1408,12/22/2015,1853000,37.78897,-122.442995,Pacific Heights,5,Condominium,1890,94115
2784 Jackson St,2,2,1785,10/18/2011,1166000,37.79191,-122.44083,Pacific Heights,6,Condominium,1914,94115
3101 Jackson St,7,13,7957,3/16/2007,3350000,37.790849,-122.446267,Pacific Heights,33,MultiFamily2To4,1907,94115
3065 Clay St # 12,1,2,1187,2/26/2016,1100000,37.789268,-122.443393,Pacific Heights,4,Condominium,1910,94115
2190 Broadway St APT 2E,3.5,3,3200,2/24/2016,4000000,37.79478,-122.433065,Pacific Heights,7,Condominium,1973,94115
2919 Pacific Ave APT 6,2,2,1125,2/10/2016,1457000,37.79197,-122.44344,Pacific Heights,4,Condominium,1905,94115
2105 Buchanan St APT 6,2,3,1700,2/5/2016,1770000,37.789597,-122.430787,Pacific Heights,5,Condominium,1921,94115
2421 Franklin St,4,4,2096,1/14/2016,2400000,37.79675,-122.425354,Pacific Heights,8,Condominium,1922,94123
2865 Vallejo St,2,3,2230,1/14/2016,7450000,37.79376,-122.444385,Pacific Heights,9,SingleFamily,1925,94123
2660 Scott St,8,7,9190,12/8/2015,13075000,37.794473,-122.439703,Pacific Heights,16,SingleFamily,1908,94123
1795 Green St,2,3,1647,11/20/2015,2500000,37.79678,-122.428519,Pacific Heights,6,Condominium,1908,94123
1641 Green St,4,4,2442,11/10/2015,4150000,37.797039,-122.426092,Pacific Heights,7,SingleFamily,1940,94123
2186 Vallejo St APT 1,2,2,1171,10/21/2015,2300000,37.795758,-122.433173,Pacific Heights,4,Condominium,1900,94123
2829 Green St,5.5,5,5972,10/15/2015,9000000,37.794549,-122.445697,Pacific Heights,9,SingleFamily,1870,94123
2505 Gough St,3,5,4567,10/14/2015,3500000,37.796619,-122.427196,Pacific Heights,23,MultiFamily2To4,1900,94123
2900 Vallejo St,6.5,4,8675,7/10/2015,12500000,37.794151,-122.44529,Pacific Heights,16,SingleFamily,1912,94123
2522 Octavia St APT 2,2,2,1297,7/1/2015,1300000,37.795975,-122.42821,Pacific Heights,4,Condominium,1900,94123
2447 Vallejo St APT 1,1,1,1325,6/29/2015,1510000,37.79463,-122.43752,Pacific Heights,4,Condominium,1923,94123
2950 Vallejo St,5,8,8000,6/15/2015,16760000,37.794145,-122.445922,Pacific Heights,10,SingleFamily,1927,94123
2939 Vallejo St,6.5,5,6111,4/30/2015,12000000,37.793668,-122.445777,Pacific Heights,14,SingleFamily,1935,94123
1911 Vallejo St # B,3.5,3,3105,4/24/2015,2989000,37.795791,-122.429167,Pacific Heights,6,Condominium,1997,94123
1967 Green St,3,2,1809,4/13/2015,2810000,37.796372,-122.431356,Pacific Heights,5,Condominium,1940,94123
2445-2447 Franklin St,2,2,3800,1/15/2015,2525000,37.797073,-122.425681,Pacific Heights,10,SingleFamily,1921,94123
2632 Laguna St,2.5,2,2225,11/25/2014,2475000,37.795765,-122.429875,Pacific Heights,7,Condominium,1900,94123
2170 Vallejo St APT 202,1,1,1236,11/17/2014,1150000,37.795777,-122.433024,Pacific Heights,4,Condominium,1914,94123
1880 Vallejo St APT 3,1,1,828,10/30/2014,1009000,37.796382,-122.428254,Pacific Heights,4,Condominium,1939,94123
2865 Vallejo St,2,3,2230,1/14/2016,7450000,37.79376,-122.444385,Pacific Heights,9,SingleFamily,1925,94123
1628 Vallejo St APT 4,2,2,1800,10/16/2014,2400000,37.796755,-122.424905,Pacific Heights,4,Condominium,1985,94123
2017 Green St,1,1,867,10/7/2014,830000,37.796215,-122.432594,Pacific Heights,4,Condominium,1902,94123
2295 Vallejo St # 2,2,2,1075,9/15/2014,1410000,37.794992,-122.434747,Pacific Heights,4,Condominium,1975,94123
2454 Vallejo St,2,3,2450,8/8/2014,3000000,37.795185,-122.437705,Pacific Heights,7,Condominium,1910,94123
2210 Vallejo St,2,3,3045,8/8/2014,3500000,37.795671,-122.433865,Pacific Heights,7,Condominium,1913,94123
2090 Vallejo St,6,6,9378,7/24/2014,9500000,37.795948,-122.431681,Pacific Heights,15,SingleFamily,1919,94123
1641 Green St,4,4,2442,11/10/2015,4150000,37.797039,-122.426092,Pacific Heights,7,SingleFamily,1940,94123
1909 Vallejo St,3.5,4,2900,7/3/2014,3625000,37.795762,-122.429041,Pacific Heights,8,SingleFamily,1906,94123
2349 Vallejo St,2,2,1870,7/1/2014,2500000,37.794839,-122.435885,Pacific Heights,6,Condominium,1922,94123
2170 Vallejo St APT 302,1,1,1240,6/3/2014,920000,37.795777,-122.433024,Pacific Heights,4,Condominium,1914,94123
1704 Vallejo St,2,4,2540,5/23/2014,2502000,37.796591,-122.425586,Pacific Heights,10,Condominium,1908,94123
1958 Vallejo St APT 3,4,4,3358,5/14/2014,4750000,37.796221,-122.429523,Pacific Heights,8,Condominium,1927,94123
2514 Gough St,2.5,2,1535,5/6/2014,3400000,37.796612,-122.426666,Pacific Heights,5,SingleFamily,1941,94123
2139 Green St APT F,2,2,1460,4/4/2014,2900000,37.796014,-122.434175,Pacific Heights,5,Condominium,1988,94123
2400 Vallejo St,5.5,6,6293,3/19/2014,5000000,37.795108,-122.437094,Pacific Heights,14,SingleFamily,1906,94123
2351 Green St,2.5,2,1768,3/18/2014,1845000,37.795545,-122.4378,Pacific Heights,6,Condominium,1916,94123
2447 Vallejo St APT 3,1,2,1325,2/11/2014,1230000,37.79463,-122.43752,Pacific Heights,6,Condominium,1923,94123
1958 Vallejo St APT 11,4.5,4,2734,1/28/2014,6000000,37.796221,-122.429523,Pacific Heights,7,Condominium,1926,94123
1980 Vallejo St APT 10,3,4,2718,12/12/2013,3175000,37.796172,-122.429983,Pacific Heights,7,Condominium,1926,94123
2425A Franklin St,1,20,979,12/3/2013,965000,37.796841,-122.425636,Pacific Heights,6,Condominium,1908,94123
2821 Buchanan St APT 2,1,2,1250,11/13/2013,1330000,37.796411,-122.432277,Pacific Heights,4,Condominium,1904,94123
2755 Fillmore St,5,4,5142,11/8/2013,10000000,37.794684,-122.435252,Pacific Heights,9,SingleFamily,1986,94123
2668 Vallejo St,5,4,5950,10/29/2013,9500000,37.794737,-122.441206,Pacific Heights,10,SingleFamily,1916,94123
1980 Vallejo St APT 5,3,3,2718,10/9/2013,2850000,37.796172,-122.429983,Pacific Heights,7,Condominium,1926,94123
1980 Vallejo St APT 2,3,4,2718,10/8/2013,2725000,37.796172,-122.429983,Pacific Heights,7,Condominium,1926,94123
2714 Steiner St,4.5,6,5900,8/29/2013,5250000,37.794642,-122.436323,Pacific Heights,18,SingleFamily,1900,94123
2169 Green St APT 2,2,2,1575,7/25/2013,2015000,37.795946,-122.434714,Pacific Heights,5,Condominium,1900,94123
2550 Baker St,4,4,3950,7/8/2013,5550000,37.794642,-122.444876,Pacific Heights,10,SingleFamily,1907,94123
1961 Green St,4.5,5,3850,7/2/2013,4650000,37.796383,-122.431266,Pacific Heights,16,SingleFamily,1900,94123
2139 Green St APT E,2.5,2,1560,3/20/2013,1750000,37.796014,-122.434175,Pacific Heights,5,Condominium,1988,94123
2349 Green St,2.5,3,1763,12/20/2012,1576000,37.795545,-122.4378,Pacific Heights,13,Condominium,1916,94123
1772 Vallejo St,4.5,5,4659,12/20/2012,6250000,37.796618,-122.426393,Pacific Heights,16,SingleFamily,1875,94123
2195 Green St APT 6,2,2,1432,12/11/2012,949000,37.795975,-122.43503,Pacific Heights,4,Condominium,1914,94123
2150 Vallejo St APT 3,1,2,1279,11/28/2012,895000,37.79581,-122.432769,Pacific Heights,4,Condominium,1906,94123
2021 Green St,2.5,3,1372,11/28/2012,1250000,37.796212,-122.43259,Pacific Heights,6,Condominium,1902,94123
2170 Vallejo St APT 101,2,3,2145,11/14/2012,1650000,37.795777,-122.433024,Pacific Heights,8,Condominium,1914,94123
2380 Vallejo St,3.5,4,3042,10/1/2012,3195000,37.79533,-122.43654,Pacific Heights,10,SingleFamily,1908,94123
2430 Vallejo St,7.5,6,4721,9/24/2012,7350000,37.795246,-122.43749,Pacific Heights,13,SingleFamily,1905,94123
1859 Green St,1,2,1306,10/18/2011,1349000,37.796588,-122.429641,Pacific Heights,5,Condominium,1900,94123
2131 Vallejo St APT 3,1,1,1100,3/4/2016,1250000,37.795255,-122.43288,Pacific Heights,5,Condominium,1900,94123
